ISIN;NAME;Country
AEA000201011;ABU DHABI COML.BANK;UNITED ARAB EMIRATES
AEA000701010;WAHA CAPITAL;UNITED ARAB EMIRATES
AEA000801018;ABU DHABI ISLAMIC BANK;UNITED ARAB EMIRATES
AEA001201010;AMLAK FINANCE;UNITED ARAB EMIRATES
AEA001501013;ARABTEC HOLDING SUSP - SUSP.30/09/20;UNITED ARAB EMIRATES
AEA001901015;AGTHIA GROUP SUSP - SUSP.09/04/21;UNITED ARAB EMIRATES
AEA002001013;ALDAR PROPERTIES;UNITED ARAB EMIRATES
AEA003001012;AIR ARABIA;UNITED ARAB EMIRATES
AEA003201018;AJMAN BANK;UNITED ARAB EMIRATES
AEA005901011;AMANAT HOLDINGS;UNITED ARAB EMIRATES
AEA006101017;ADB.NAT.OIL CO.FOR DS. PJSC;UNITED ARAB EMIRATES
AEB000101011;BANK OF SHARJAH SUSP - SUSP.03/04/21;UNITED ARAB EMIRATES
AED000201015;DUBAI ISLAMIC BANK;UNITED ARAB EMIRATES
AED000601016;DUBAI INVESTMENT;UNITED ARAB EMIRATES
AED000701014;DANA GAS;UNITED ARAB EMIRATES
AED000901010;DUBAI FINANCIAL MARKET;UNITED ARAB EMIRATES
AED001001018;DEYAAR DEVELOPMENT;UNITED ARAB EMIRATES
AED001101016;DRAKE & SKULL INTL.;UNITED ARAB EMIRATES
AED001301012;DAMAC PROPERTIES DUBAI;UNITED ARAB EMIRATES
AED001501017;DXB ENTERTAINMENTS;UNITED ARAB EMIRATES
AEDFXA0M6V00;DP WORLD DEAD - DELIST.23/06/20;UNITED ARAB EMIRATES
AEDFXA14NUL7;ORASCOM CONST;UNITED ARAB EMIRATES
AEE000301011;EMAAR PROPERTIES;UNITED ARAB EMIRATES
AEE000401019;EMIRATES TELECOM.;UNITED ARAB EMIRATES
AEE000801010;EMIRATES NBD;UNITED ARAB EMIRATES
AEE000901018;ESHRAQ INVESTMENTS;UNITED ARAB EMIRATES
AEE001501015;EMAAR MALLS GROUP ORD;UNITED ARAB EMIRATES
AEE001901017;EMAAR DEVELOPMENT PJSC;UNITED ARAB EMIRATES
AEF000201010;FIRST GULF BANK DEAD - DELIST.02/04/17;UNITED ARAB EMIRATES
AEG000301016;GULF GENERAL INVESTMENT SUSP - SUSP.11/09/20;UNITED ARAB EMIRATES
AEG000601019;GULF NAVIGATION HDG.;UNITED ARAB EMIRATES
AEI000101016;INVEST BANK SUSP - SUSP.28/03/21;UNITED ARAB EMIRATES
AEN000101016;FIRST ABU DHABI BANK;UNITED ARAB EMIRATES
AEN000501017;NATIONAL CTL.COOLING;UNITED ARAB EMIRATES
AEN000601015;NATIONAL BANK OF RAS AL KHAIMAH;UNITED ARAB EMIRATES
AER000301013;RAS AL KHAIMAH CERAMICS;UNITED ARAB EMIRATES
AER000601016;RAK PROPERTIES;UNITED ARAB EMIRATES
AEU000101011;UNION PROPERTIES;UNITED ARAB EMIRATES
AEU000401015;UNION NATIONAL BANK DEAD - DELIST.01/05/19;UNITED ARAB EMIRATES
AGP8696W1045;SINOVAC BIOTECH;CHINA
AN8068571086;SCHLUMBERGER;UNITED STATES
ANN4327C1220;HUNTER DOUGLAS;NETHERLANDS
ARALUA010258;ALUAR;ARGENTINA
ARBANS010010;BANCO MACRO BANSUD 'B';ARGENTINA
ARGCLA010015;GRUPO CLARIN 'B';ARGENTINA
ARP125991090;BBVA BANCO FRANCES;ARGENTINA
ARP432631215;PAMPA ENERGIA;ARGENTINA
ARP495251018;GP FINANCE GALICIA 'B';ARGENTINA
ARP9028N1016;TELECOM ARGENTINA;ARGENTINA
ARP9897X1319;YPF;ARGENTINA
ARPERE010103;PETROBRAS ENERGIA 'B' DEAD - DELIST.22/05/18;ARGENTINA
ARSIDE010029;TERNIUM ARGENTINA SOCIEDAD ANONIMA;ARGENTINA
AT000000STR1;STRABAG SE;AUSTRIA
AT00000FACC2;FACC AG;AUSTRIA
AT00000VIE62;FLUGHAFEN WIEN;AUSTRIA
AT0000499157;CHRIST WATER TECHNOLOGY DEAD - 20/09/10;AUSTRIA
AT0000606306;RAIFFEISEN BANK INTL.;AUSTRIA
AT0000609607;PORR;AUSTRIA
AT0000612601;INTERCELL DEAD - 28/05/13;AUSTRIA
AT0000641352;CA IM.ANLAGEN;AUSTRIA
AT0000642806;IMMOEAST DEAD - MERGED 866289;AUSTRIA
AT0000644505;LENZING;AUSTRIA
AT0000652011;ERSTE GROUP BANK;AUSTRIA
AT0000652250;S IMMO;AUSTRIA
AT0000697750;CONWERT IM.INVEST DEAD - DELIST.26/10/17;AUSTRIA
AT0000720008;TELEKOM AUSTRIA;AUSTRIA
AT0000730007;ANDRITZ;AUSTRIA
AT0000737705;BWT DEAD - DELIST.05/10/17;AUSTRIA
AT0000741053;EVN;AUSTRIA
AT0000743059;OMV;AUSTRIA
AT0000746409;VERBUND;AUSTRIA
AT0000758305;PALFINGER;AUSTRIA
AT0000767553;BWIN INTACT.ENTM. DEAD - MERGED 30234N;AUSTRIA
AT0000785555;SEMPERIT;AUSTRIA
AT0000815402;UBM DEVELOPMENT;AUSTRIA
AT0000818802;DO CO REST.CATER.;AUSTRIA
AT0000821103;UNIQA INSU GR AG;AUSTRIA
AT0000831706;WIENERBERGER;AUSTRIA
AT0000837307;ZUMTOBEL;AUSTRIA
AT0000903851;BOEHLER-UDDEHOLM DEAD - 05/09/08;AUSTRIA
AT0000908504;VIENNA INSURANCE GROUP A;AUSTRIA
AT0000922554;ROSENBAUER INTL.;AUSTRIA
AT0000937503;VOESTALPINE;AUSTRIA
AT0000938204;MAYR-MELNHOF KARTON;AUSTRIA
AT0000946652;SCHOELLER-BLECKMANN;AUSTRIA
AT0000969985;AT&S AU.TCHG.& SYSTK.;AUSTRIA
AT0000A00XX9;POLYTEC HOLDING;AUSTRIA
AT0000A0E9W5;S&T;AUSTRIA
AT0000A18XM4;AMS;AUSTRIA
AT0000A21KS2;IMMOFINANZ;AUSTRIA
AT0000APOST4;OSTERREICHISCHE POST;AUSTRIA
AT0000BAWAG2;BAWAG GROUP;AUSTRIA
AT0000KTMI02;PIERER MOBILITY;AUSTRIA
AT000AGRANA3;AGRANA BETEILIGUNGS;AUSTRIA
AT000KAPSCH9;KAPSCH TRAFFICCOM;AUSTRIA
AT00BUWOG001;BUWOG DEAD - DELIST.07/12/18;AUSTRIA
AU0000001PG3;1-PAGE (OTC);AUSTRALIA
AU0000003PL9;3P LEARNING;AUSTRALIA
AU0000005159;JUPITER MINES;AUSTRALIA
AU0000009789;PENDAL GROUP;AUSTRALIA
AU000000AAC9;AUSTRALIAN AGRICULTURAL;AUSTRALIA
AU000000AAX5;AUSENCO DEAD - DELIST.16/09/16;AUSTRALIA
AU000000ABB9;ABB GRAIN DEAD - DELIST.25/09/09;AUSTRALIA
AU000000ABC7;ADBRI;AUSTRALIA
AU000000ABP9;ABACUS PROPERTY GROUP STAPLED UNITS;AUSTRALIA
AU000000ACR3;ACRUX;AUSTRALIA
AU000000ACX1;ACONEX DEAD - DELIST.03/04/18;AUSTRALIA
AU000000AD88;AUDINATE;AUSTRALIA
AU000000ADA7;ADACEL TECHNOLOGIES;AUSTRALIA
AU000000ADH2;ADAIRS;AUSTRALIA
AU000000AEF4;AUSTRALIAN ETHICAL INVESTMENT;AUSTRALIA
AU000000AEJ6;REDBANK ENERGY DEAD - DELIST.30/08/16;AUSTRALIA
AU000000AFG9;AUSTRALIAN FINANCE GP.;AUSTRALIA
AU000000AFI5;AUST.FNDTN.INV.COMPANY;AUSTRALIA
AU000000AFJ3;AFFINITY EDUCATION GP. DEAD - DELIST.15/12/15;AUSTRALIA
AU000000AGI3;AINSWORTH GAME TECH.;AUSTRALIA
AU000000AGL7;AGL ENERGY;AUSTRALIA
AU000000AGO1;ATLAS IRON DEAD - DELIST.23/11/18;AUSTRALIA
AU000000AGY0;ARGOSY MINERALS CDI.;AUSTRALIA
AU000000AHG5;AUTOMOTIVE HOLDINGS GP. DEAD - DELIST.30/09/19;AUSTRALIA
AU000000AHY8;ASALEO CARE;AUSTRALIA
AU000000AIO7;ASCIANO DEAD - DELIST.25/08/16;AUSTRALIA
AU000000AJA4;ASTRO JAPAN PR.GROUP DEAD - DELIST.11/10/17;AUSTRALIA
AU000000AJL1;AJ LUCAS GROUP;AUSTRALIA
AU000000AJM9;ALTURA MINING SUSP - SUSP.06/04/21;AUSTRALIA
AU000000AJX6;ALEXIUM INTL.GROUP;AUSTRALIA
AU000000ALK9;ALKANE RESOURCES;AUSTRALIA
AU000000ALL7;ARISTOCRAT LEISURE;AUSTRALIA
AU000000ALQ6;ALS;AUSTRALIA
AU000000ALS2;ALESCO DEAD - DELIST.29/01/13;AUSTRALIA
AU000000ALU8;ALTIUM;AUSTRALIA
AU000000ALZ7;AUSTRALAND PR.GP. DEAD - DELIST.03/11/14;AUSTRALIA
AU000000AMA8;AMA GROUP;AUSTRALIA
AU000000AMC4;AMCOR CDI;AUSTRALIA
AU000000AMI1;AURELIA METALS;AUSTRALIA
AU000000AMM3;AMCOM TELECOM. DEAD - DELIST.09/07/15;AUSTRALIA
AU000000AMP6;AMP;AUSTRALIA
AU000000ANG3;AUSTIN ENGINEERING;AUSTRALIA
AU000000ANI9;AUSTRALIAN INDL.REIT DEAD - DELIST.03/12/15;AUSTRALIA
AU000000ANN9;ANSELL;AUSTRALIA
AU000000ANZ3;AUS.AND NZ.BANKING GP.;AUSTRALIA
AU000000AOE6;ARROW ENERGY DEAD - DELIST.25/08/10;AUSTRALIA
AU000000AOG1;AVEO GROUP STAPLED UNITS DEAD - DELIST.02/12/19;AUSTRALIA
AU000000APA1;APA GROUP;AUSTRALIA
AU000000APE3;EAGERS AUTOMOTIVE;AUSTRALIA
AU000000API4;AUSTRALIAN PHARM.INDS.;AUSTRALIA
AU000000APO2;APN OUTDOOR GROUP DEAD - DELIST.01/11/18;AUSTRALIA
AU000000APT1;AFTERPAY;AUSTRALIA
AU000000APX3;APPEN;AUSTRALIA
AU000000APZ8;ASPEN GROUP REIT STAPLED UNITS;AUSTRALIA
AU000000AQA9;AQUILA RESOURCES DEAD - DELIST.29/07/14;AUSTRALIA
AU000000AQZ6;ALLIANCE AVIATION SVS.;AUSTRALIA
AU000000ARB5;ARB;AUSTRALIA
AU000000ARF6;ARENA REIT STAPLED UNITS;AUSTRALIA
AU000000ARI0;ACN 004 410 833 DEAD - DELIST.08/04/19;AUSTRALIA
AU000000ASB3;AUSTAL;AUSTRALIA
AU000000ASG2;AUTOSPORTS GROUP;AUSTRALIA
AU000000ASH0;ASHLEY SERVICES GROUP;AUSTRALIA
AU000000AST5;AUSNET SERVICES;AUSTRALIA
AU000000ASX7;ASX;AUSTRALIA
AU000000ASZ2;ASG GROUP DEAD - DELIST.23/12/16;AUSTRALIA
AU000000AUB9;AUB GROUP;AUSTRALIA
AU000000AUN4;AUSTAR UTD.COMMS. (OTC) DEAD - MERGER;AUSTRALIA
AU000000AUQ7;ALARA RESOURCES;AUSTRALIA
AU000000AUT1;AURORA OIL & GAS DEAD - DELIST.12/06/14;AUSTRALIA
AU000000AUW5;AUSTRALIAN WEALTH MAN. DEAD - DELIST.15/05/09;AUSTRALIA
AU000000AVH4;AVITA MEDICAL CDI;UNITED KINGDOM
AU000000AVJ0;AVJENNINGS;AUSTRALIA
AU000000AVN2;AVENTUS GROUP STAPLED UNITS;AUSTRALIA
AU000000AWB5;AWB DEAD - DELIST.10/12/10;AUSTRALIA
AU000000AWC3;ALUMINA;AUSTRALIA
AU000000AWE9;AWE DEAD - DELIST.08/05/18;AUSTRALIA
AU000000AX19;ACCENT GROUP;AUSTRALIA
AU000000AXA5;AXA ASIA PACIFIC HDG. DEAD - DELIST.31/03/11;AUSTRALIA
AU000000AYS5;AMAYSIM AUSTRALIA DEAD - DELIST.06/04/21;AUSTRALIA
AU000000AZJ1;AURIZON HOLDINGS;AUSTRALIA
AU000000BAL8;BELLAMYS AUSTRALIA DEAD - DELIST.24/12/19;AUSTRALIA
AU000000BAP9;BAPCOR;AUSTRALIA
AU000000BBG6;BILLABONG INTERNATIONAL DEAD - DELIST.26/04/18;AUSTRALIA
AU000000BBN2;BABY BUNTING GROUP;AUSTRALIA
AU000000BCI0;BCI MINERALS;AUSTRALIA
AU000000BDR9;BEADELL RESOURCES DEAD - DELIST.07/03/19;AUSTRALIA
AU000000BEN6;BENDIGO & ADELAIDE BANK;AUSTRALIA
AU000000BFC6;BESTON GLOBAL FOOD;AUSTRALIA
AU000000BGA8;BEGA CHEESE;AUSTRALIA
AU000000BHP4;BHP GROUP;UNITED KINGDOM
AU000000BIN7;BINGO INDUSTRIES;AUSTRALIA
AU000000BKL7;BLACKMORES;AUSTRALIA
AU000000BKN3;BRADKEN DEAD - DELIST.17/05/17;AUSTRALIA
AU000000BKW4;BRICKWORKS;AUSTRALIA
AU000000BLA8;BLUE SKY ALT.INVESTMENT DEAD - DELIST.31/08/20;AUSTRALIA
AU000000BLD2;BORAL;AUSTRALIA
AU000000BLX0;BEACON LIGHTING GROUP;AUSTRALIA
AU000000BLY8;BOART LONGYEAR;AUSTRALIA
AU000000BNB2;BABCOCK & BROWN DEAD - DELIST.18/06/09;AUSTRALIA
AU000000BND8;BANDANNA ENERGY DEAD - DELIST.30/08/16;AUSTRALIA
AU000000BNO5;BIONOMICS;AUSTRALIA
AU000000BOQ8;BANK OF QLND.;AUSTRALIA
AU000000BOW6;BOW ENERGY (OTC) DEAD - DELIST.25/06/13;AUSTRALIA
AU000000BPT9;BEACH ENERGY;AUSTRALIA
AU000000BRG2;BREVILLE GROUP;AUSTRALIA
AU000000BRS7;BROADSPECTRUM DEAD - DELIST.28/06/16;AUSTRALIA
AU000000BRU3;BURU ENERGY;AUSTRALIA
AU000000BSL0;BLUESCOPE STEEL;AUSTRALIA
AU000000BTH6;BIGTINCAN HOLDINGS;AUSTRALIA
AU000000BUB7;BUBS AUSTRALIA;AUSTRALIA
AU000000BVS9;BRAVURA SOLUTIONS;AUSTRALIA
AU000000BWP3;BWP TRUST;AUSTRALIA
AU000000BWX7;BWX;AUSTRALIA
AU000000BXB1;BRAMBLES;AUSTRALIA
AU000000CAJ0;CAPITOL HEALTH;AUSTRALIA
AU000000CAN2;CANN GROUP;AUSTRALIA
AU000000CAR3;CARSALES.COM;AUSTRALIA
AU000000CAT9;CATAPULT GROUP INTL.;AUSTRALIA
AU000000CBA7;COMMONWEALTH BK.OF AUS.;AUSTRALIA
AU000000CCL2;COCA-COLA AMATIL;AUSTRALIA
AU000000CCP3;CREDIT CORP GROUP;AUSTRALIA
AU000000CCV1;CASH CONVERTERS INTL.;AUSTRALIA
AU000000CDA3;CODAN;AUSTRALIA
AU000000CDD7;CARDNO;AUSTRALIA
AU000000CDU1;CUDECO DEAD - DELIST.03/02/20;AUSTRALIA
AU000000CEU9;CONNECTEAST GROUP DEAD - DELIST.02/11/11;AUSTRALIA
AU000000CEY1;CENTENNIAL COAL DEAD - DELIST.30/11/10;AUSTRALIA
AU000000CGC2;COSTA GROUP HOLDINGS;AUSTRALIA
AU000000CGF5;CHALLENGER;AUSTRALIA
AU000000CGL3;CITADEL GROUP DEAD - DELIST.18/12/20;AUSTRALIA
AU000000CHC0;CHARTER HALL GROUP STAPLED UNITS;AUSTRALIA
AU000000CHN7;CHALICE MINING;AUSTRALIA
AU000000CIA2;CHAMPION IRON;AUSTRALIA
AU000000CIM7;CIMIC GROUP;AUSTRALIA
AU000000CIP0;CENTURIA INDUSTRIAL;AUSTRALIA
AU000000CKA8;COKAL;AUSTRALIA
AU000000CKF7;COLLINS FOOD;AUSTRALIA
AU000000CL11;CLASS;AUSTRALIA
AU000000CLH1;COLLECTION HOUSE;AUSTRALIA
AU000000CLQ2;CLEAN TEQ HOLDINGS;AUSTRALIA
AU000000CLV2;CLOVER;AUSTRALIA
AU000000CLW0;CHARTER HALL LONG WALE REIT STAPLED UNITS;AUSTRALIA
AU000000CMJ5;CONSOLIDATED MEDIA HDG. DEAD - DELIST.20/11/12;AUSTRALIA
AU000000CMM9;CAPRICORN METALS DEFERRED;AUSTRALIA
AU000000CMW8;CROMWELL PROPERTY GROUP STAPLED UNITS;AUSTRALIA
AU000000CNI5;CENTURIA CAPITAL STAPLED UNITS;AUSTRALIA
AU000000CNX4;CARBON ENERGY DEAD - DELIST.29/08/19;AUSTRALIA
AU000000COE2;COOPER ENERGY;AUSTRALIA
AU000000COH5;COCHLEAR;AUSTRALIA
AU000000CPA7;COMMONWEALTH PR. (OTC);AUSTRALIA
AU000000CPU5;COMPUTERSHARE;AUSTRALIA
AU000000CQO6;CHARTER HALL OFFICE REIT DEAD - DELIST.01/05/12;AUSTRALIA
AU000000CQR9;CHARTER HALL RETAIL REIT;AUSTRALIA
AU000000CRG0;CRANE GROUP DEAD - DELIST.06/05/11;AUSTRALIA
AU000000CSL8;CSL;AUSTRALIA
AU000000CSR5;CSR;AUSTRALIA
AU000000CSV7;CSG DEAD - DELIST.20/02/20;AUSTRALIA
AU000000CTD3;CORPORATE TRAVEL MAN.;AUSTRALIA
AU000000CUV3;CLINUVEL PHARMACEUTICALS;AUSTRALIA
AU000000CVN8;CARNARVON PETROLEUM;AUSTRALIA
AU000000CVO6;COVER MORE GROUP DEAD - DELIST.18/04/17;AUSTRALIA
AU000000CWN6;CROWN RESORTS;AUSTRALIA
AU000000CWP1;CEDAR WOODS PROPERTIES;AUSTRALIA
AU000000CWY3;CLEANAWAY WASTE MANAGEMENT;AUSTRALIA
AU000000CXP9;CORPORATE EXPRESS AUS. DEAD - DELIST.08/09/10;AUSTRALIA
AU000000CYG6;COVENTRY GROUP;AUSTRALIA
AU000000CZZ3;CAPILANO HONEY DEAD - DELIST.10/12/18;AUSTRALIA
AU000000DCG0;DECMIL GROUP;AUSTRALIA
AU000000DCN6;DACIAN GOLD;AUSTRALIA
AU000000DDR5;DICKER DATA;AUSTRALIA
AU000000DDT1;DATADOT TECHNOLOGY;AUSTRALIA
AU000000DEG6;DE GREY MINING;AUSTRALIA
