ISIN;NAME;x1999;x2000;x2001;x2002;x2003;x2004;x2005;x2006;x2007;x2008;x2009;x2010;x2011;x2012;x2013;x2014;x2015;x2016;x2017;x2018;x2019;x2020
AEA000201011;ABU DHABI COML.BANK;;;;;;;;;;;;;;;1341.1676;1317.0636;1496.0551;1406.9771;1431.0411;1215.579361;1443.409283;
AEA000701010;WAHA CAPITAL;;;;;;;;;;;;;;;334.4785536;741.1502872;1423.058723;1632.324076;1546.718709;1376.263374;1424.498304;
AEA000801018;ABU DHABI ISLAMIC BANK;;;;;;;;;;;;;;;;;;;;1896.536225;1766.577336;
AEA001201010;AMLAK FINANCE;;;;;;;;;;;;;;;;;;111.4402636;568.9479434;618.1953218;452.3108173;
AEA001501013;ARABTEC HOLDING SUSP - SUSP.30/09/20;;;;;;;;;127693.5037;;;;;;53116.66468;56361.75815;49453.8086;54252.69393;309573.0263;170355.909;130201.2453;
AEA001901015;AGTHIA GROUP SUSP - SUSP.09/04/21;;;;;;;;;;;;;;;20637.85183;19062.64261;22083.20561;26238.02825;26864.84061;26253.95069;26313.35733;
AEA002001013;ALDAR PROPERTIES;;;;;;;;;;19653.57996;9642.480472;8973.686322;28090.99746;45035.62288;23515.48911;26889.13799;21430.41373;30757.21569;29305.16158;28996.61893;33096.06051;
AEA003001012;AIR ARABIA;;;;;;;;;;;;;;;979018.4051;1075286.229;1134989.045;1161736.376;1173209.08;1268653.64;1401602.603;
AEA003201018;AJMAN BANK;;;;;;;;;;;;;;;;;;195.1046931;198.4246295;211.5051397;227.5146749;
AEA005901011;AMANAT HOLDINGS;;;;;;;;;;;;;;;;;;118.8887438;110.7055759;91.65370945;265.6419857;
AEA006101017;ADB.NAT.OIL CO.FOR DS. PJSC;;;;;;;;;;;;;;;;;;;62984.51922;92020.27246;85784.87841;
AEB000101011;BANK OF SHARJAH SUSP - SUSP.03/04/21;;;;;;;;;;;;;;;;;;215.5993347;192.3070152;164.9615389;133.2056947;
AED000201015;DUBAI ISLAMIC BANK;;;;;;;;;;;;;;;1407.868422;4449.079055;4482.644464;3894.848468;3955.241018;3946.028043;3937.339749;
AED000601016;DUBAI INVESTMENT;;;;;;;;;;;;;;;35944.42043;37523.20509;32716.70922;33494.88026;31894.89029;42097.5771;39332.60121;
AED000701014;DANA GAS;;;;;;;;;;;;;;;178865.6314;176974.5678;103063.6875;65604.055;56450.0043;71705.0825;159900.058;
AED000901010;DUBAI FINANCIAL MARKET;;;;;;;;;;169.2102009;80.90899924;42.00022875;28.02346133;29.75569524;68.21894052;140.3881721;69.59799193;65.83411154;61.79724555;39.12649262;36.61658845;
AED001001018;DEYAAR DEVELOPMENT;;;;;;;;;;;;;;;2627.022764;3816.543173;990.617423;1616.973228;2778.314404;2277.492706;2117.302359;
AED001101016;DRAKE & SKULL INTL.;;;;;;;;;;;;;;;;;;11011.55051;8926.879243;2695.096809;2460.675652;
AED001301012;DAMAC PROPERTIES DUBAI;;;;;;;;;;;;;;;;26949.16291;32870.97556;27011.11462;27555.72944;21697.17521;15427.72333;
AED001501017;DXB ENTERTAINMENTS;;;;;;;;;;;;;;;;;;229.8079688;1537.797062;1425.252262;1271.934599;
